Time,Channel A,Channel B
(s),(V),(V)

-49.94679837,14.01575000,0.70866140
-49.94669837,14.01575000,0.70866140
-49.94659837,13.85827000,0.70866140
-49.94649837,13.85827000,0.70866140
-49.94639837,13.85827000,0.70866140
-49.94629837,13.70079000,0.70866140
-49.94619837,13.70079000,0.70866140
-49.94609837,13.54331000,0.70866140
-49.94599837,13.54331000,0.70866140
-49.94589837,13.54331000,0.70866140
-49.94579837,13.38583000,0.70866140
-49.94569837,13.38583000,0.70866140
-49.94559837,13.22835000,0.70866140
-49.94549837,13.22835000,0.70866140
-49.94539837,13.07087000,0.70866140
-49.94529837,13.07087000,0.70866140
-49.94519837,13.07087000,0.70866140
-49.94509837,12.91339000,0.70866140
-49.94499837,12.91339000,0.70866140
-49.94489837,12.75591000,0.70866140
-49.94479837,12.75591000,0.70866140
-49.94469837,12.59842000,0.70866140
-49.94459837,12.59842000,0.70866140
-49.94449837,12.59842000,0.70866140
-49.94439837,12.44094000,0.70866140
-49.94429837,12.44094000,0.70866140
-49.94419837,12.28346000,0.70866140
-49.94409837,12.28346000,0.70866140
-49.94399837,12.12598000,0.70866140
-49.94389837,12.12598000,0.70866140
-49.94379837,12.12598000,0.70866140
-49.94369837,11.96850000,0.70866140
-49.94359837,11.96850000,0.70866140
-49.94349837,11.81102000,0.70866140
-49.94339837,11.81102000,0.70866140
-49.94329837,11.81102000,0.70866140
-49.94319837,11.65354000,0.70866140
-49.94309837,11.65354000,0.70866140
-49.94299837,11.49606000,0.70866140
-49.94289837,11.49606000,0.70866140
-49.94279837,11.49606000,0.70866140
-49.94269837,11.33858000,0.70866140
-49.94259837,11.33858000,0.70866140
-49.94249837,11.18110000,0.70866140
-49.94239837,11.18110000,0.70866140
-49.94229837,11.18110000,0.70866140
-49.94219837,11.02362000,0.70866140
-49.94209837,11.02362000,0.70866140
-49.94199837,10.86614000,0.70866140
-49.94189837,10.86614000,0.70866140
-49.94179837,10.70866000,0.70866140
-49.94169837,10.70866000,0.70866140
-49.94159837,10.70866000,0.70866140
-49.94149837,10.55118000,0.70866140
-49.94139837,10.55118000,0.70866140
-49.94129837,10.39370000,0.70866140
-49.94119837,10.39370000,0.70866140
-49.94109837,10.39370000,0.70866140
-49.94099837,10.23622000,0.70866140
-49.94089837,10.23622000,0.70866140
-49.94079837,10.07874000,0.70866140
-49.94069837,10.07874000,0.70866140
-49.94059837,10.07874000,0.70866140
-49.94049837,9.92126000,0.70866140
-49.94039837,9.92126000,0.70866140
-49.94029837,9.76378000,0.70866140
-49.94019837,9.76378000,0.70866140
-49.94009837,9.76378000,0.70866140
-49.93999837,9.60629900,0.70866140
-49.93989837,9.60629900,0.70866140
-49.93979837,9.44881900,0.70866140
-49.93969837,9.44881900,0.70866140
-49.93959837,9.29133900,0.70866140
-49.93949837,9.29133900,0.70866140
-49.93939837,9.29133900,0.70866140
-49.93929837,9.13385900,0.70866140
-49.93919837,9.13385900,0.70866140
-49.93909837,9.13385900,0.70866140
-49.93899837,8.97637700,0.70866140
-49.93889837,8.97637700,0.70866140
-49.93879837,8.81889700,0.70866140
-49.93869837,8.81889700,0.70866140
-49.93859837,8.81889700,0.70866140
-49.93849837,8.66141700,0.70866140
-49.93839837,8.66141700,0.70866140
-49.93829837,8.50393700,0.70866140
-49.93819837,8.50393700,0.70866140
-49.93809837,8.50393700,0.70866140
-49.93799837,8.34645700,0.70866140
-49.93789837,8.34645700,0.70866140
-49.93779837,8.18897600,0.70866140
-49.93769837,8.18897600,0.70866140
-49.93759837,8.03149600,0.70866140
-49.93749837,8.03149600,0.70866140
-49.93739837,8.03149600,0.70866140
-49.93729837,7.87401600,0.70866140
-49.93719837,7.87401600,0.70866140
-49.93709837,7.87401600,0.70866140
-49.93699837,7.71653600,0.70866140
-49.93689837,7.71653600,0.70866140
-49.93679837,7.55905500,0.70866140
-49.93669837,7.55905500,0.70866140
-49.93659837,7.55905500,0.70866140
-49.93649837,7.40157500,0.70866140
-49.93639837,7.40157500,0.70866140
-49.93629837,7.24409400,0.70866140
-49.93619837,7.24409400,0.70866140
-49.93609837,7.24409400,0.70866140
-49.93599837,7.08661400,0.70866140
-49.93589837,7.08661400,0.70866140
-49.93579837,6.92913400,0.70866140
-49.93569837,6.92913400,0.70866140
-49.93559837,6.92913400,0.70866140
-49.93549837,6.77165400,0.70866140
-49.93539837,6.77165400,0.70866140
-49.93529837,6.77165400,0.70866140
-49.93519837,6.61417300,0.70866140
-49.93509837,6.61417300,5.35433100
-49.93499837,6.45669300,0.70866140
-49.93489837,6.45669300,0.70866140
-49.93479837,6.45669300,0.70866140
-49.93469837,6.29921200,0.70866140
-49.93459837,6.29921200,0.70866140
-49.93449837,6.14173200,0.70866140
-49.93439837,6.14173200,0.70866140
-49.93429837,6.14173200,0.70866140
-49.93419837,5.98425200,0.70866140
-49.93409837,5.98425200,0.70866140
-49.93399837,5.82677200,0.70866140
-49.93389837,5.82677200,0.70866140
-49.93379837,5.82677200,0.70866140
-49.93369837,5.66929100,0.70866140
-49.93359837,5.66929100,0.70866140
-49.93349837,5.66929100,0.70866140
-49.93339837,5.51181100,0.70866140
-49.93329837,5.51181100,0.70866140
-49.93319837,5.35433100,0.70866140
-49.93309837,5.35433100,0.70866140
-49.93299837,5.19685000,0.70866140
-49.93289837,5.19685000,0.70866140
-49.93279837,5.19685000,0.70866140
-49.93269837,5.03937000,0.70866140
